tool,specie,mrd,depth,batch,precision,recall,f1score
NanoMGT,ecoli,0.02,170,5,0.4215228219764084,0.7479674796747968,0.5332880865868227
NanoMGT,ecoli,0.02,170,6,0.45417700578990905,0.804878048780488,0.5763343021109875
NanoMGT,ecoli,0.02,170,7,0.46387458209090093,0.8617886178861789,0.600399523170987
NanoMGT,ecoli,0.02,170,8,0.48840062411395113,0.9268292682926829,0.637844611528822
NanoMGT,ecoli,0.02,170,9,0.4957644417228006,0.9430894308943089,0.6480767135229378
NanoMGT,ecoli,0.02,170,10,0.4738470967785388,0.9674796747967479,0.6352614634196119
NanoMGT,salmonella,0.02,170,1,0.11709072693293258,0.19259259259259257,0.145610837737683
NanoMGT,salmonella,0.02,170,2,0.22996860830805302,0.4444444444444444,0.3029353621010448
NanoMGT,salmonella,0.02,170,3,0.3196660842554844,0.6666666666666666,0.4313828376450686
NanoMGT,salmonella,0.02,170,4,0.35036252099037934,0.7555555555555555,0.47646717267894534
NanoMGT,salmonella,0.02,170,5,0.3752336373433705,0.8296296296296296,0.5147499575479708
NanoMGT,salmonella,0.02,170,6,0.3828777384811868,0.8740740740740741,0.5304007282068145
NanoMGT,salmonella,0.02,170,7,0.39359177077115853,0.9037037037037038,0.5466646699612306
NanoMGT,salmonella,0.02,170,8,0.39373350663673246,0.9481481481481482,0.5542062540554245
NanoMGT,salmonella,0.02,170,9,0.4013607950123299,0.9629629629629629,0.564696603076207
NanoMGT,salmonella,0.02,170,10,0.39429378531073445,0.9925925925925926,0.563326240163931
NanoMGT,klebsiella,0.02,170,1,0.14583333333333331,0.13333333333333333,0.13438735177865613
NanoMGT,klebsiella,0.02,170,2,0.3068181818181818,0.3,0.2967032967032967
NanoMGT,klebsiella,0.02,170,3,0.3068181818181818,0.3,0.2967032967032967
NanoMGT,klebsiella,0.02,170,4,0.39743589743589747,0.43333333333333335,0.4087301587301587
NanoMGT,klebsiella,0.02,170,5,0.5378787878787878,0.6333333333333333,0.5765765765765766
NanoMGT,klebsiella,0.02,170,6,0.5811111111111111,0.8,0.6689393939393938
NanoMGT,klebsiella,0.02,170,7,0.5821052631578947,0.8333333333333334,0.6823529411764706
NanoMGT,klebsiella,0.02,170,8,0.6,0.9,0.7170731707317073
NanoMGT,klebsiella,0.02,170,9,0.618421052631579,0.9,0.7288378766140602
NanoMGT,klebsiella,0.02,170,10,0.6388888888888888,0.9,0.7413155949741316
NanoMGT,staph,0.02,120,1,0.155,0.21250000000000002,0.17777777777777778
NanoMGT,staph,0.02,120,2,0.24794745484400654,0.425,0.311749866218179
NanoMGT,staph,0.02,120,3,0.2773664727657324,0.4875,0.35040571726345565
NanoMGT,staph,0.02,120,4,0.3158143939393939,0.5875,0.4080188679245283
NanoMGT,staph,0.02,120,5,0.3776098901098901,0.7875000000000001,0.5061868686868687
NanoMGT,staph,0.02,120,6,0.369281045751634,0.775,0.49698189134808846
NanoMGT,staph,0.02,120,7,0.3907335907335907,0.8500000000000001,0.529319686935581
NanoMGT,staph,0.02,120,8,0.4085996240601504,0.925,0.5623865698729583
NanoMGT,staph,0.02,120,9,0.4008438818565401,0.9375,0.5576776165011459
NanoMGT,staph,0.02,120,10,0.41505266734624535,0.9624999999999999,0.5773476066337567
NanoMGT,staph,0.02,170,1,0.21424223980523432,0.28750000000000003,0.24541429475015814
NanoMGT,staph,0.02,170,2,0.25965166908563136,0.36250000000000004,0.3019969278033794
NanoMGT,staph,0.02,170,3,0.35684210526315785,0.5625,0.4348722545943523
NanoMGT,staph,0.02,170,4,0.370253164556962,0.625,0.4635854341736695
NanoMGT,staph,0.02,170,5,0.41504126031507876,0.7375,0.5280112044817927
NanoMGT,staph,0.02,170,6,0.43472222222222223,0.8625,0.576510989010989
NanoMGT,staph,0.02,170,7,0.4409246575342466,0.875,0.5852461283185841
NanoMGT,staph,0.02,170,8,0.4398484848484848,0.8875,0.5873641304347825
NanoMGT,staph,0.02,170,9,0.42914862914862917,0.8875,0.5777777777777777
NanoMGT,staph,0.02,170,10,0.445699079401611,0.925,0.6011685924369747
NanoMGT,ecoli,0.03,220,1,0.05128205128205129,0.048780487804878044,0.049999999999999996
NanoMGT,ecoli,0.03,220,2,0.1320754716981132,0.17073170731707318,0.14893617021276595
NanoMGT,ecoli,0.03,220,3,0.3540372670807453,0.3658536585365854,0.3276480400333612
NanoMGT,ecoli,0.03,220,4,0.5120261437908497,0.5691056910569107,0.513656505080793
