tool,specie,sequencing_id,mrd,depth,batch,precision,recall,f1score
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,4,1.0,0.525,0.6885245901639345
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,5,0.96,0.6,0.7384615384615384
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,6,0.9629629629629628,0.65,0.7761194029850746
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,7,0.9444444444444444,0.85,0.8947368421052632
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,8,0.945945945945946,0.875,0.9090909090909092
Confindr,Staphylococcus aureus,SRR28370694,0.05,220,9,0.9473684210526316,0.9,0.9230769230769232
Confindr,Salmonella enterica,SRR27136088,0.05,220,10,0.6212121212121212,0.9111111111111112,0.7387387387387386
Confindr,Salmonella enterica,SRR27136088,0.05,220,1,0.0,0.0,0.0
Confindr,Salmonella enterica,SRR27136088,0.05,220,2,0.15625,0.1111111111111111,0.1298701298701298
Confindr,Salmonella enterica,SRR27136088,0.05,220,3,0.2972972972972973,0.2444444444444444,0.2682926829268293
Confindr,Salmonella enterica,SRR27136088,0.05,220,4,0.3720930232558139,0.3555555555555555,0.3636363636363636
Confindr,Salmonella enterica,SRR27136088,0.05,220,5,0.4807692307692308,0.5555555555555556,0.5154639175257731
Confindr,Salmonella enterica,SRR27136088,0.05,220,6,0.5263157894736842,0.6666666666666666,0.5882352941176471
Confindr,Salmonella enterica,SRR27136088,0.05,220,7,0.5901639344262295,0.8,0.6792452830188679
Confindr,Salmonella enterica,SRR27136088,0.05,220,8,0.6129032258064516,0.8444444444444444,0.7102803738317757
Confindr,Salmonella enterica,SRR27136088,0.05,220,9,0.609375,0.8666666666666667,0.7155963302752294
Confindr,Salmonella enterica,SRR27755678,0.05,220,10,0.8367346938775511,0.9111111111111112,0.8723404255319148
Confindr,Salmonella enterica,SRR27755678,0.05,220,1,0.0,0.0,0.0
Confindr,Salmonella enterica,SRR27755678,0.05,220,2,0.7222222222222222,0.2888888888888888,0.4126984126984127
Confindr,Salmonella enterica,SRR27755678,0.05,220,3,0.8214285714285714,0.5111111111111111,0.6301369863013698
Confindr,Salmonella enterica,SRR27755678,0.05,220,4,0.8529411764705882,0.6444444444444445,0.7341772151898734
Confindr,Salmonella enterica,SRR27755678,0.05,220,5,0.9,0.8,0.8470588235294118
Confindr,Salmonella enterica,SRR27755678,0.05,220,6,0.8666666666666667,0.8666666666666667,0.8666666666666667
Confindr,Salmonella enterica,SRR27755678,0.05,220,7,0.8541666666666666,0.9111111111111112,0.8817204301075269
Confindr,Salmonella enterica,SRR27755678,0.05,220,8,0.8541666666666666,0.9111111111111112,0.8817204301075269
Confindr,Salmonella enterica,SRR27755678,0.05,220,9,0.8367346938775511,0.9111111111111112,0.8723404255319148
Confindr,Salmonella enterica,SRR28399428,0.05,220,10,0.640625,0.9111111111111112,0.7522935779816514
Confindr,Salmonella enterica,SRR28399428,0.05,220,1,0.0,0.0,0.0
Confindr,Salmonella enterica,SRR28399428,0.05,220,2,0.1034482758620689,0.0666666666666666,0.081081081081081
Confindr,Salmonella enterica,SRR28399428,0.05,220,3,0.2121212121212121,0.1555555555555555,0.1794871794871794
Confindr,Salmonella enterica,SRR28399428,0.05,220,4,0.3333333333333333,0.2888888888888888,0.3095238095238095
Confindr,Salmonella enterica,SRR28399428,0.05,220,5,0.5102040816326531,0.5555555555555556,0.5319148936170212
Confindr,Salmonella enterica,SRR28399428,0.05,220,6,0.5471698113207547,0.6444444444444445,0.5918367346938775
Confindr,Salmonella enterica,SRR28399428,0.05,220,7,0.5862068965517241,0.7555555555555555,0.6601941747572815
Confindr,Salmonella enterica,SRR28399428,0.05,220,8,0.6129032258064516,0.8444444444444444,0.7102803738317757
Confindr,Salmonella enterica,SRR28399428,0.05,220,9,0.6290322580645161,0.8666666666666667,0.7289719626168225
Confindr,Escherichia coli,ERR12533301,0.05,220,10,0.6666666666666666,0.926829268292683,0.7755102040816327
Confindr,Escherichia coli,ERR12533301,0.05,220,1,0.08,0.048780487804878,0.0606060606060606
Confindr,Escherichia coli,ERR12533301,0.05,220,2,0.425,0.4146341463414634,0.419753086419753
Confindr,Escherichia coli,ERR12533301,0.05,220,3,0.5882352941176471,0.7317073170731707,0.6521739130434783
Confindr,Escherichia coli,ERR12533301,0.05,220,4,0.625,0.8536585365853658,0.7216494845360826
Confindr,Escherichia coli,ERR12533301,0.05,220,5,0.6101694915254238,0.8780487804878049,0.7200000000000001
Confindr,Escherichia coli,ERR12533301,0.05,220,6,0.6379310344827587,0.902439024390244,0.7474747474747474
Confindr,Escherichia coli,ERR12533301,0.05,220,7,0.6607142857142857,0.902439024390244,0.7628865979381443
Confindr,Escherichia coli,ERR12533301,0.05,220,8,0.6607142857142857,0.902439024390244,0.7628865979381443
Confindr,Escherichia coli,ERR12533301,0.05,220,9,0.6785714285714286,0.926829268292683,0.7835051546391752
Confindr,Escherichia coli,SRR25689478,0.05,220,10,0.7954545454545454,0.8536585365853658,0.8235294117647058
Confindr,Escherichia coli,SRR25689478,0.05,220,1,0.0,0.0,0.0
Confindr,Escherichia coli,SRR25689478,0.05,220,2,0.0,0.0,0.0
Confindr,Escherichia coli,SRR25689478,0.05,220,3,0.0833333333333333,0.024390243902439,0.0377358490566037
Confindr,Escherichia coli,SRR25689478,0.05,220,4,0.3684210526315789,0.1707317073170731,0.2333333333333333
Confindr,Escherichia coli,SRR25689478,0.05,220,5,0.5,0.3170731707317073,0.3880597014925372
Confindr,Escherichia coli,SRR25689478,0.05,220,6,0.5806451612903226,0.4390243902439024,0.5
Confindr,Escherichia coli,SRR25689478,0.05,220,7,0.6129032258064516,0.4634146341463415,0.5277777777777778
Confindr,Escherichia coli,SRR25689478,0.05,220,8,0.6829268292682927,0.6829268292682927,0.6829268292682927
Confindr,Escherichia coli,SRR25689478,0.05,220,9,0.75,0.8048780487804879,0.7764705882352942
Confindr,Escherichia coli,SRR26036455,0.05,220,10,0.813953488372093,0.8536585365853658,0.8333333333333333
Confindr,Escherichia coli,SRR26036455,0.05,220,1,0.0,0.0,0.0
Confindr,Escherichia coli,SRR26036455,0.05,220,2,0.0,0.0,0.0
Confindr,Escherichia coli,SRR26036455,0.05,220,3,0.1666666666666666,0.048780487804878,0.0754716981132075
Confindr,Escherichia coli,SRR26036455,0.05,220,4,0.4444444444444444,0.1951219512195122,0.2711864406779661
Confindr,Escherichia coli,SRR26036455,0.05,220,5,0.5454545454545454,0.2926829268292683,0.3809523809523809
Confindr,Escherichia coli,SRR26036455,0.05,220,6,0.625,0.3658536585365853,0.4615384615384615
Confindr,Escherichia coli,SRR26036455,0.05,220,7,0.6538461538461539,0.4146341463414634,0.5074626865671641
Confindr,Escherichia coli,SRR26036455,0.05,220,8,0.75,0.6585365853658537,0.7012987012987012
Confindr,Escherichia coli,SRR26036455,0.05,220,9,0.8095238095238095,0.8292682926829268,0.8192771084337348
NanoMGT,Escherichia coli,SRR26036455,0.01,220,1,0.0208333333333333,0.024390243902439,0.0224719101123595
