tool,specie,mrd,depth,batch,precision,recall,f1score
Confindr,campylobacter,0.05,220,3,0.14229390681003584,0.028645833333333336,0.047473084709844654
Confindr,campylobacter,0.05,220,4,0.3170454545454545,0.078125,0.12486039368979476
Confindr,campylobacter,0.05,220,5,0.5695994146698371,0.21875,0.3159992649865012
Confindr,campylobacter,0.05,220,6,0.7303921568627451,0.46354166666666663,0.5649585283731625
Confindr,campylobacter,0.05,220,7,0.7930839770519944,0.6171875,0.6936764845074301
Confindr,campylobacter,0.05,220,8,0.8311642965972574,0.7682291666666667,0.7984442751669987
Confindr,campylobacter,0.05,220,9,0.8395424836601306,0.8020833333333334,0.8203109484495135
Confindr,campylobacter,0.05,220,10,0.8360715324222158,0.8072916666666666,0.8213087601588929
Confindr,ecoli,0.01,120,1,0.040123456790123455,0.10569105691056911,0.058165548098434015
Confindr,ecoli,0.01,120,2,0.15743061357096444,0.3089430894308943,0.19940952264064749
Confindr,ecoli,0.01,120,3,0.2544048438934802,0.4959349593495935,0.3239508815039402
Confindr,ecoli,0.01,120,4,0.3382699675803124,0.6747967479674797,0.44197798787532766
Confindr,ecoli,0.01,120,5,0.36535926565046495,0.7317073170731708,0.47988736772590496
Confindr,ecoli,0.01,120,6,0.3925298179535468,0.8373983739837398,0.5277864898702669
Confindr,ecoli,0.01,120,7,0.4019494677440041,0.8699186991869919,0.545138439875282
Confindr,ecoli,0.01,120,8,0.41919545596016183,0.8861788617886179,0.5638778766325183
Confindr,ecoli,0.01,120,9,0.41644222136719256,0.894308943089431,0.5631351105035315
Confindr,ecoli,0.01,120,10,0.41462583475686515,0.910569105691057,0.5656361182676972
Confindr,ecoli,0.01,170,1,0.058725964291062194,0.16260162601626016,0.0843528416725553
Confindr,ecoli,0.01,170,2,0.1743316075932563,0.4878048780487805,0.25104771707962653
Confindr,ecoli,0.01,170,3,0.23781121230927502,0.6747967479674797,0.34603049157843674
Confindr,ecoli,0.01,170,4,0.28101572393220137,0.8211382113821138,0.41406573065340835
Confindr,ecoli,0.01,170,5,0.2963398078529657,0.8699186991869919,0.43776498205506914
Confindr,ecoli,0.01,170,6,0.30266493222158247,0.894308943089431,0.4485054588201309
Confindr,ecoli,0.01,170,7,0.29724198892216896,0.910569105691057,0.4448559488800938
Confindr,ecoli,0.01,170,8,0.299545159194282,0.91869918699187,0.4486590116568017
Confindr,ecoli,0.01,170,9,0.29681105253860673,0.91869918699187,0.44586964276614177
Confindr,ecoli,0.01,170,10,0.2983887332511186,0.91869918699187,0.44798437862712165
Confindr,ecoli,0.01,220,1,0.0702967259963346,0.2764227642276423,0.10953782976635283
Confindr,ecoli,0.01,220,2,0.16196212010520164,0.6260162601626017,0.25335509515480487
Confindr,ecoli,0.01,220,3,0.2077586206896552,0.8211382113821138,0.32863283152300493
Confindr,ecoli,0.01,220,4,0.22248875562218892,0.8861788617886179,0.35300717577368607
Confindr,ecoli,0.01,220,5,0.22699843664891098,0.910569105691057,0.36106328694716244
Confindr,ecoli,0.01,220,6,0.2240346037191976,0.91869918699187,0.3584377809508699
Confindr,ecoli,0.01,220,7,0.2228781476931068,0.91869918699187,0.3571087786259542
Confindr,ecoli,0.01,220,8,0.22324792324792322,0.91869918699187,0.3575971070223944
Confindr,ecoli,0.01,220,9,0.2268799269044217,0.9430894308943089,0.3645760585457894
Confindr,ecoli,0.01,220,10,0.23235624438454627,0.9430894308943089,0.3714701554143785
Confindr,ecoli,0.02,120,1,0.040123456790123455,0.10569105691056911,0.058165548098434015
Confindr,ecoli,0.02,120,2,0.15743061357096444,0.3089430894308943,0.19940952264064749
Confindr,ecoli,0.02,120,3,0.2544048438934802,0.4959349593495935,0.3239508815039402
