batch,mrd,ii,average_f1
4,0.05,0.14,0.576273586848684
4,0.05,0.16,0.576579564558917
4,0.05,0.18,0.5842944414442252
4,0.05,0.2,0.5908262961952581
4,0.05,0.22,0.5924430648189466
4,0.05,0.24,0.5889684050942867
4,0.05,0.26,0.5826176875611885
4,0.05,0.28,0.5889702065402688
4,0.05,0.3,0.5885507096808984
4,0.05,0.32,0.5915081031646077
4,0.05,0.34,0.5878286129436174
4,0.05,0.36,0.5885257541804919
4,0.05,0.38,0.5903792111583346
4,0.05,0.4,0.5977224019472426
4,0.05,0.42,0.5977224019472426
4,0.05,0.44,0.6000908574427953
4,0.05,0.46,0.60254078417701
4,0.05,0.48,0.60254078417701
4,0.05,0.5,0.6056149410708642
4,0.05,0.52,0.6099139960828692
4,0.05,0.54,0.6095339910469594
4,0.05,0.56,0.6078176229954497
4,0.05,0.58,0.6079082188709747
5,0.01,0.01,0.48175365550702465
5,0.01,0.02,0.48256029174495974
5,0.01,0.04,0.48428876822111155
5,0.01,0.06,0.48638125061542825
5,0.01,0.08,0.48850869182472717
5,0.01,0.1,0.4895876270865568
5,0.01,0.12,0.49069558119179674
5,0.01,0.14,0.493686698688831
5,0.01,0.16,0.49318044787664767
5,0.01,0.18,0.493994361024312
5,0.01,0.2,0.49666468618830184
5,0.01,0.22,0.5039481451466014
5,0.01,0.24,0.5052629027499534
5,0.01,0.26,0.5039949210611497
5,0.01,0.28,0.5055651919581278
5,0.01,0.3,0.5032168405045485
5,0.01,0.32,0.5056832959564921
5,0.01,0.34,0.5056738047923528
5,0.01,0.36,0.5084759003898086
5,0.01,0.38,0.5091473605353837
5,0.01,0.4,0.5093229989100443
5,0.01,0.42,0.5105825286181115
5,0.01,0.44,0.511802380920744
5,0.01,0.46,0.5075022794785756
5,0.01,0.48,0.5094824290050439
5,0.01,0.5,0.5110782279172306
5,0.01,0.52,0.5135316073341859
5,0.01,0.54,0.5154223004974458
5,0.01,0.56,0.5149509650556315
5,0.01,0.58,0.5132407668832342
5,0.02,0.01,0.6147790412086439
5,0.02,0.02,0.6157170908471039
5,0.02,0.04,0.6159883544968967
5,0.02,0.06,0.6151830021211897
5,0.02,0.08,0.6175183189336009
5,0.02,0.1,0.6195644058770935
5,0.02,0.12,0.6189595744919361
5,0.02,0.14,0.6205044891057827
5,0.02,0.16,0.6195434205377682
5,0.02,0.18,0.6196705280433108
5,0.02,0.2,0.622472743583577
5,0.02,0.22,0.6216659167716211
5,0.02,0.24,0.6182483420646486
5,0.02,0.26,0.6199117558397808
5,0.02,0.28,0.6190638589447831
5,0.02,0.3,0.6125726174042537
5,0.02,0.32,0.6095883061179134
5,0.02,0.34,0.6105084627951942
5,0.02,0.36,0.6084699680418765
5,0.02,0.38,0.6102465227994296
5,0.02,0.4,0.6102465227994296
5,0.02,0.42,0.6120933331086296
5,0.02,0.44,0.6120933331086296
5,0.02,0.46,0.615333527917585
5,0.02,0.48,0.6155456207542626
5,0.02,0.5,0.6159841700646507
5,0.02,0.52,0.6133793335125733
5,0.02,0.54,0.6141444899002803
5,0.02,0.56,0.6187637614632662
5,0.02,0.58,0.6163171739667751
5,0.03,0.01,0.6539791007686863
5,0.03,0.02,0.6547862032707039
5,0.03,0.04,0.6515057822644226
5,0.03,0.06,0.6521337129711062
5,0.03,0.08,0.6543246164792039
5,0.03,0.1,0.6517744240555938
5,0.03,0.12,0.6548477620660764
5,0.03,0.14,0.6547226129586462
5,0.03,0.16,0.6547226129586462
5,0.03,0.18,0.6517378433722322
5,0.03,0.2,0.6523639478322024
5,0.03,0.22,0.6480599146354746
5,0.03,0.24,0.6477223747727505
5,0.03,0.26,0.646887078135355
5,0.03,0.28,0.6477223747727505
5,0.03,0.3,0.6497544820680157
5,0.03,0.32,0.6486808505129936
5,0.03,0.34,0.6498037877261563
5,0.03,0.36,0.6498037877261563
5,0.03,0.38,0.6491618956536044
5,0.03,0.4,0.6520913718537572
5,0.03,0.42,0.6510180117248096
5,0.03,0.44,0.6522344923933451
5,0.03,0.46,0.651882104513681
5,0.03,0.48,0.6534503361889392
5,0.03,0.5,0.654352591828037
5,0.03,0.52,0.6555330349055298
5,0.03,0.54,0.6567242394349356
5,0.03,0.56,0.6567242394349356
5,0.03,0.58,0.6567242394349356
5,0.04,0.01,0.6779308654183465
5,0.04,0.02,0.6784730177631554
5,0.04,0.04,0.6790119996264156
5,0.04,0.06,0.6780174245812077
5,0.04,0.08,0.6824623153161606
5,0.04,0.1,0.6828824296603255
5,0.04,0.12,0.6828884954779105
5,0.04,0.14,0.6821916995461057
5,0.04,0.16,0.6821916995461057
5,0.04,0.18,0.6832651195301744
5,0.04,0.2,0.6812013542479436
5,0.04,0.22,0.6812013542479436
5,0.04,0.24,0.6820319190319968
5,0.04,0.26,0.6762689686346214
5,0.04,0.28,0.6742123320264897
5,0.04,0.3,0.6745125945140191
5,0.04,0.32,0.6731793113670623
5,0.04,0.34,0.6737096136635861
5,0.04,0.36,0.6708889732122836
5,0.04,0.38,0.6715238825560558
5,0.04,0.4,0.6762699670363596
5,0.04,0.42,0.6762704893475108
5,0.04,0.44,0.6762704893475108
5,0.04,0.46,0.6768522551035973
5,0.04,0.48,0.6749479011284424
5,0.04,0.5,0.675760668972391
5,0.04,0.52,0.675760668972391
5,0.04,0.54,0.6765897212513259
5,0.04,0.56,0.6768948245896501
5,0.04,0.58,0.674205376717478
5,0.05,0.01,0.6797872847617786
5,0.05,0.02,0.6802166177221168
5,0.05,0.04,0.6789308551901537
5,0.05,0.06,0.6772372715181866
5,0.05,0.08,0.6771354669139141
5,0.05,0.1,0.6776918573439987
5,0.05,0.12,0.6719876538283744
5,0.05,0.14,0.6734122991083913
5,0.05,0.16,0.6803573270986129
5,0.05,0.18,0.6800954571347438
5,0.05,0.2,0.6855376340054921
5,0.05,0.22,0.6814623646230056
5,0.05,0.24,0.6825364784790743
5,0.05,0.26,0.68210922370889
5,0.05,0.28,0.6798674944672586
