group,tool,mrd,depth,batch,precision,recall,f1score
group 1,NanoMGT,0.04,120,5,0.39213983785913487,0.7419150858175249,0.4958653033826447
group 1,NanoMGT,0.04,120,6,0.43865956865956857,0.8717253839205059,0.5705987919636448
group 1,NanoMGT,0.04,120,7,0.43872460933080193,0.9112917795844625,0.5813980890903968
group 1,NanoMGT,0.04,120,8,0.43456138149199597,0.9353206865401987,0.5836518390226778
group 1,NanoMGT,0.04,120,9,0.4375153418283356,0.9434507678410118,0.5901324806735535
group 1,NanoMGT,0.04,120,10,0.436827540978419,0.9556458897922312,0.5926467767051342
group 1,NanoMGT,0.04,170,1,0.0946114208575688,0.08292682926829265,0.0854436454791087
group 1,NanoMGT,0.04,170,2,0.19971442921806637,0.3049683830171635,0.2373111631443034
group 1,NanoMGT,0.04,170,3,0.3375994960692351,0.5432700993676602,0.4022873324881774
group 1,NanoMGT,0.04,170,4,0.42118991222673385,0.7041553748870821,0.5137975977414037
group 1,NanoMGT,0.04,170,5,0.4696487338606353,0.8110207768744355,0.5828315774196914
group 1,NanoMGT,0.04,170,6,0.4772114263337465,0.8532068654019875,0.6024986287458666
group 1,NanoMGT,0.04,170,7,0.4861221301336539,0.9127371273712738,0.6273561362874209
group 1,NanoMGT,0.04,170,8,0.48679010417894264,0.9401084010840108,0.635026818910401
group 1,NanoMGT,0.04,170,9,0.4997313339807187,0.9438121047877145,0.6454068588967395
group 1,NanoMGT,0.04,170,10,0.4933291406926058,0.9597109304426377,0.6439782246345617
group 1,NanoMGT,0.04,220,1,0.1210682189542483,0.12140921409214085,0.1199465759881864
group 1,NanoMGT,0.04,220,2,0.2307154678833423,0.3249322493224932,0.26510468089415457
group 1,NanoMGT,0.04,220,3,0.3700290554043789,0.5173441734417343,0.4113422114235782
group 1,NanoMGT,0.04,220,4,0.46167255759774606,0.673803071364047,0.5284994654397639
group 1,NanoMGT,0.04,220,5,0.514922942446751,0.795483288166215,0.6104843839595784
group 1,NanoMGT,0.04,220,6,0.5288851891669487,0.8495031616982835,0.6388791783059922
group 1,NanoMGT,0.04,220,7,0.5340514494085923,0.8809394760614273,0.6546640945543214
group 1,NanoMGT,0.04,220,8,0.5395151649176417,0.9316169828364951,0.6743371414537451
group 1,NanoMGT,0.04,220,9,0.5518877686640844,0.9593495934959348,0.692914792322687
group 1,NanoMGT,0.04,220,10,0.5638261689625426,0.975609756097561,0.7071906353569288
group 1,NanoMGT,0.05,120,1,0.0594806763285024,0.0418247515808491,0.04568228706159735
group 1,NanoMGT,0.05,120,2,0.1953049984101548,0.2572719060523938,0.21713625420377855
group 1,NanoMGT,0.05,120,3,0.23886992636992635,0.3757000903342367,0.28906019017334583
group 1,NanoMGT,0.05,120,4,0.43144938716171344,0.6201445347786811,0.4870757023706514
group 1,NanoMGT,0.05,120,5,0.4629176050798436,0.7186088527551941,0.5425245155270064
group 1,NanoMGT,0.05,120,6,0.5012243140150117,0.82773261065944,0.6059989467079885
group 1,NanoMGT,0.05,120,7,0.516290359729539,0.8998193315266486,0.6419791465844098
group 1,NanoMGT,0.05,120,8,0.5168565807924109,0.9231255645889792,0.6488119908507232
group 1,NanoMGT,0.05,120,9,0.5117335050187437,0.9271906052393857,0.6478114597658539
group 1,NanoMGT,0.05,120,10,0.5169780247479884,0.9312556458897923,0.655028886395011
group 1,NanoMGT,0.05,170,1,0.09404043330596995,0.0644083107497741,0.07365137733354785
group 1,NanoMGT,0.05,170,2,0.21849491300826168,0.2779584462511291,0.2395779703704688
group 1,NanoMGT,0.05,170,3,0.37580720992485694,0.49069557362240296,0.403629704444632
group 1,NanoMGT,0.05,170,4,0.47178965749317436,0.6416440831074978,0.5244286068199111
group 1,NanoMGT,0.05,170,5,0.5240607191229121,0.7488708220415538,0.6027316092169814
group 1,NanoMGT,0.05,170,6,0.5459469493700275,0.8269196025293586,0.647167188833349
group 1,NanoMGT,0.05,170,7,0.5513715778977104,0.9012646793134598,0.6770235660817526
group 1,NanoMGT,0.05,170,8,0.5580537606616696,0.9438121047877145,0.6962539231719311
group 1,NanoMGT,0.05,170,9,0.5547749497106509,0.9401084010840107,0.6921497378166235
group 1,NanoMGT,0.05,170,10,0.5662378007391133,0.9515808491418247,0.7029585135650636
group 1,NanoMGT,0.05,220,1,0.11200708795048415,0.09069557362240285,0.10004638218923925
group 1,NanoMGT,0.05,220,2,0.22422794250751235,0.27570009033423665,0.24681423184128543
group 1,NanoMGT,0.05,220,3,0.4142305107526882,0.45365853658536587,0.409433533937625
group 1,NanoMGT,0.05,220,4,0.49688084751094386,0.6046070460704608,0.5211681076464342
group 1,NanoMGT,0.05,220,5,0.5624440721922588,0.7252032520325202,0.6126911295332348
group 1,NanoMGT,0.05,220,6,0.5768297771761006,0.7762420957542908,0.6456688358747582
group 1,NanoMGT,0.05,220,7,0.5848039215686274,0.8343270099367661,0.6738685964701183
group 1,NanoMGT,0.05,220,8,0.5985754985754985,0.9086720867208673,0.7113139830255356
group 1,NanoMGT,0.05,220,9,0.6154810088552254,0.9519421860885275,0.7389583720125552
group 1,NanoMGT,0.05,220,10,0.6286061563235475,0.967479674796748,0.7525809634759784
group 2,Confindr,0.01,120,1,0.1449933789110618,0.1282986111111111,0.12745159932659927
group 2,Confindr,0.01,120,2,0.2508431058317867,0.27152777777777776,0.2556665556665556
group 2,Confindr,0.01,120,3,0.38017003915746655,0.5295138888888888,0.4294769700118777
group 2,Confindr,0.01,120,4,0.4205994480124436,0.6274305555555556,0.49035264814589014
group 2,Confindr,0.01,120,5,0.4739991877892953,0.7711805555555555,0.5746871826383303
group 2,Confindr,0.01,120,6,0.5063471795363143,0.8692708333333333,0.6264634766297908
group 2,Confindr,0.01,120,7,0.511016281174574,0.8880208333333334,0.6357200604823463
group 2,Confindr,0.01,120,8,0.517681333211796,0.9013888888888889,0.6460181898860307
group 2,Confindr,0.01,120,9,0.5134457120869648,0.9006944444444445,0.6428959607434087
group 2,Confindr,0.01,120,10,0.5089520761546336,0.9015624999999999,0.6396587628571565
