batch,mrd,pp,average_f1
4,0.03,0.48,0.5287461414194927
4,0.03,0.5,0.5305901259052804
4,0.03,0.52,0.5256899076078104
4,0.03,0.54,0.5240910644685651
4,0.03,0.56,0.5168777132234281
4,0.03,0.58,0.5149571577494205
4,0.03,0.6,0.5169816817528313
4,0.03,0.62,0.5169816817528313
4,0.03,0.64,0.5172105304957071
4,0.03,0.66,0.5174957541966557
4,0.03,0.68,0.5147172045995455
4,0.04,0.1,0.5620772761272412
4,0.04,0.12,0.5575853000040857
4,0.04,0.14,0.556083673895422
4,0.04,0.16,0.5540321406520622
4,0.04,0.18,0.54689185273183
4,0.04,0.2,0.535880476343091
4,0.04,0.22,0.5330616242675814
4,0.04,0.24,0.5347464289344175
4,0.04,0.26,0.533370463031045
4,0.04,0.28,0.51797342403513
4,0.04,0.3,0.5155668169260997
4,0.04,0.32,0.5154646982810063
4,0.04,0.34,0.5053460281746515
4,0.04,0.36,0.4922143382668768
4,0.04,0.38,0.4950870960845247
4,0.04,0.4,0.4866474138702585
4,0.04,0.42,0.4863375525920203
4,0.04,0.44,0.4837916987417275
4,0.04,0.46,0.48078931224019605
4,0.04,0.48,0.47651561501996087
4,0.04,0.5,0.47302302895690673
4,0.04,0.52,0.47449711486502305
4,0.04,0.54,0.4767397407582289
4,0.04,0.56,0.47408282286405956
4,0.04,0.58,0.46611774544044227
4,0.04,0.6,0.4657809854262629
4,0.04,0.62,0.46578901012905377
4,0.04,0.64,0.464550480111708
4,0.04,0.66,0.463512646652337
4,0.04,0.68,0.46308568566636976
4,0.05,0.1,0.5112412022521428
4,0.05,0.12,0.49573047710143037
4,0.05,0.14,0.49275066147542596
4,0.05,0.16,0.4906806318935088
4,0.05,0.18,0.4917584142631601
4,0.05,0.2,0.47692495523392126
4,0.05,0.22,0.4609694962023801
4,0.05,0.24,0.4590127666679441
4,0.05,0.26,0.44320387947507583
4,0.05,0.28,0.43919562370617754
4,0.05,0.3,0.4371159000323162
4,0.05,0.32,0.43740351918145876
4,0.05,0.34,0.4310064587276994
4,0.05,0.36,0.4242310098396227
4,0.05,0.38,0.41694252249060304
4,0.05,0.4,0.41326130312977644
4,0.05,0.42,0.4091212931109919
4,0.05,0.44,0.4061042408650678
4,0.05,0.46,0.40481771425764856
4,0.05,0.48,0.40186818049997763
4,0.05,0.5,0.39928683181854546
4,0.05,0.52,0.3932047398920722
4,0.05,0.54,0.38656734348070465
4,0.05,0.56,0.3870677321731349
4,0.05,0.58,0.3873563324617351
4,0.05,0.6,0.38638579661689443
4,0.05,0.62,0.38907159127954366
4,0.05,0.64,0.38907159127954366
4,0.05,0.66,0.38276907027114027
4,0.05,0.68,0.38091747304949886
5,0.01,0.2,0.47643736337297443
5,0.01,0.22,0.47796657447825996
5,0.01,0.24,0.480496037654419
5,0.01,0.26,0.48107401271665884
5,0.01,0.28,0.4802364990307705
5,0.01,0.3,0.4823133630402098
5,0.01,0.32,0.4811908504376539
5,0.01,0.34,0.48786912852772774
5,0.01,0.36,0.4893985360533953
5,0.01,0.38,0.49198524248358605
5,0.01,0.4,0.49192799800566384
5,0.01,0.42,0.49300654662100446
5,0.01,0.44,0.4944183643992611
5,0.01,0.46,0.4945169791779405
5,0.01,0.48,0.49350607378967576
5,0.01,0.5,0.49407010103272275
5,0.01,0.52,0.49574549687795216
5,0.01,0.54,0.4973072767827258
5,0.01,0.56,0.4987050847003877
5,0.01,0.58,0.5014609689302062
5,0.01,0.6,0.5044144109820121
5,0.01,0.62,0.5077033372968422
5,0.01,0.64,0.508366516652291
5,0.01,0.66,0.5105002179637494
5,0.01,0.68,0.5163875579099463
5,0.02,0.2,0.6004042215974831
5,0.02,0.22,0.6023476073990734
5,0.02,0.24,0.6039632675083567
5,0.02,0.26,0.6058588055287218
5,0.02,0.28,0.6066142133022663
5,0.02,0.3,0.6071312463190938
5,0.02,0.32,0.6131978906156882
5,0.02,0.34,0.6191835938328003
5,0.02,0.36,0.6178426088907194
5,0.02,0.38,0.6185959051999571
5,0.02,0.4,0.622412479896116
5,0.02,0.42,0.6189577984757693
5,0.02,0.44,0.6197278301187605
5,0.02,0.46,0.6185755953968826
5,0.02,0.48,0.6163525502646195
5,0.02,0.5,0.6182786227706378
5,0.02,0.52,0.6128676109933048
5,0.02,0.54,0.6115186430268879
5,0.02,0.56,0.6120957492471432
5,0.02,0.58,0.6108869215588465
5,0.02,0.6,0.6066961661929701
5,0.02,0.62,0.6103542322814411
5,0.02,0.64,0.611793333432914
5,0.02,0.66,0.6130154236518363
5,0.02,0.68,0.6147472631627873
5,0.03,0.2,0.6512513692466844
5,0.03,0.22,0.651539239889894
5,0.03,0.24,0.6499908740492311
5,0.03,0.26,0.6503229198941826
5,0.03,0.28,0.6469805430655832
5,0.03,0.3,0.642476730540378
5,0.03,0.32,0.6398995940948778
5,0.03,0.34,0.6466005407669551
5,0.03,0.36,0.645503864310971
5,0.03,0.38,0.6440838943500756
5,0.03,0.4,0.6436020561826751
5,0.03,0.42,0.6393490474269272
5,0.03,0.44,0.6380031924682645
5,0.03,0.46,0.635664790274393
5,0.03,0.48,0.6295068287840172
5,0.03,0.5,0.6232978725083508
5,0.03,0.52,0.6217985813651464
5,0.03,0.54,0.6109079776297698
5,0.03,0.56,0.6055786701255709
5,0.03,0.58,0.6022496349239183
5,0.03,0.6,0.6035414617595707
5,0.03,0.62,0.6022120852160732
5,0.03,0.64,0.6007435500701046
5,0.03,0.66,0.5994426658002051
5,0.03,0.68,0.5973538226844243
5,0.04,0.1,0.6508644815255791
5,0.04,0.12,0.6529195210880389
5,0.04,0.14,0.6509765574974375
5,0.04,0.16,0.6453678470759762
5,0.04,0.18,0.6453337559519501
5,0.04,0.2,0.6398245573226322
5,0.04,0.22,0.6415842357065097
5,0.04,0.24,0.6344313211822478
5,0.04,0.26,0.6321706972680782
5,0.04,0.28,0.6310049723374288
5,0.04,0.3,0.6134964019049989
5,0.04,0.32,0.6075725989053654
5,0.04,0.34,0.602948327065363
5,0.04,0.36,0.6035632753093977
5,0.04,0.38,0.6030686282195337
5,0.04,0.4,0.5946035051504238
5,0.04,0.42,0.5935191559248593
5,0.04,0.44,0.590185537099014
5,0.04,0.46,0.5806049618121779
5,0.04,0.48,0.5785181763488315
5,0.04,0.5,0.565797925954709
5,0.04,0.52,0.5668170255001306
5,0.04,0.54,0.5695922330956471
5,0.04,0.56,0.5625636685659879
5,0.04,0.58,0.5601278522880594
5,0.04,0.6,0.5603077638571158
5,0.04,0.62,0.5625702072960298
5,0.04,0.64,0.5664503663616466
5,0.04,0.66,0.5662653067388359
5,0.04,0.68,0.5674752280939479
5,0.05,0.1,0.6387919393032478
5,0.05,0.12,0.6411553039109066
5,0.05,0.14,0.6411748375410077
5,0.05,0.16,0.6347260339394001
5,0.05,0.18,0.6289818017712056
5,0.05,0.2,0.6028315731179884
5,0.05,0.22,0.6020834255280976
5,0.05,0.24,0.5935570079753607
5,0.05,0.26,0.5864418204958997
5,0.05,0.28,0.5822129229880929
5,0.05,0.3,0.5744076315479489
5,0.05,0.32,0.5707080046813048
5,0.05,0.34,0.5692058279238635
5,0.05,0.36,0.5590720674994808
5,0.05,0.38,0.551347372079184
5,0.05,0.4,0.5396497942456057
5,0.05,0.42,0.5396320300170879
5,0.05,0.44,0.5343551378124352
5,0.05,0.46,0.53789158438935
5,0.05,0.48,0.5369250457950236
5,0.05,0.5,0.5342916147303998
5,0.05,0.52,0.5313115091197028
5,0.05,0.54,0.5210077721080288
5,0.05,0.56,0.5077656265167539
5,0.05,0.58,0.5046003016591251
5,0.05,0.6,0.4981850338524535
5,0.05,0.62,0.498589204376599
5,0.05,0.64,0.49770637430122233
5,0.05,0.66,0.498268957771713
5,0.05,0.68,0.4968354484155783
6,0.01,0.2,0.5034677750991647
6,0.01,0.22,0.5051219170099576
6,0.01,0.24,0.506933147109614
6,0.01,0.26,0.5079195355981883
6,0.01,0.28,0.5082151059177781
6,0.01,0.3,0.5112091585778012
6,0.01,0.32,0.5096898506625638
6,0.01,0.34,0.5175979047709187
6,0.01,0.36,0.5194452139864062
6,0.01,0.38,0.5210324156887393
6,0.01,0.4,0.5225181723820135
6,0.01,0.42,0.5232958125992219
6,0.01,0.44,0.5240152486260361
6,0.01,0.46,0.5267546022412798
6,0.01,0.48,0.5261918133783289
6,0.01,0.5,0.5261285954795353
6,0.01,0.52,0.527156488368313
6,0.01,0.54,0.5278727726451308
6,0.01,0.56,0.5290559636001002
6,0.01,0.58,0.531859618103626
6,0.01,0.6,0.5337568640664951
6,0.01,0.62,0.5391333337571079
6,0.01,0.64,0.5395528642116371
6,0.01,0.66,0.545762846052177
6,0.01,0.68,0.5491872415349592
6,0.02,0.2,0.652509057433078
6,0.02,0.22,0.6540317657522102
6,0.02,0.24,0.6528154851530653
6,0.02,0.26,0.6520021841564819
6,0.02,0.28,0.6531880607465801
6,0.02,0.3,0.6542933169615212
6,0.02,0.32,0.6546855883250758
6,0.02,0.34,0.6542407235707559
6,0.02,0.36,0.6568835489407563
6,0.02,0.38,0.659794512206598
6,0.02,0.4,0.6585097523799558
6,0.02,0.42,0.6615300383052861
6,0.02,0.44,0.6617382372124677
6,0.02,0.46,0.6635565180138254
6,0.02,0.48,0.6655753003301326
6,0.02,0.5,0.6655285080918805
6,0.02,0.52,0.6655355771683695
6,0.02,0.54,0.660181748325592
6,0.02,0.56,0.6620484908224716
6,0.02,0.58,0.6631689390017433
6,0.02,0.6,0.6623427270937273
6,0.02,0.62,0.6651021199382942
6,0.02,0.64,0.6654056527226454
6,0.02,0.66,0.6719343050479362
6,0.02,0.68,0.6734490639305043
6,0.03,0.2,0.7071106769763266
6,0.03,0.22,0.7066925239798231
6,0.03,0.24,0.7076280990015197
6,0.03,0.26,0.7041824393352287
6,0.03,0.28,0.7054058040718151
6,0.03,0.3,0.7078695801698857
6,0.03,0.32,0.7098650889685418
6,0.03,0.34,0.7041176748048764
6,0.03,0.36,0.7006645309661906
6,0.03,0.38,0.700355689529545
