tool,specie,sequencing_id,maf,depth,batch,precision,recall,f1score
Confindr,staph_aureus,SRR28370694,0.04,120,3,1.0,0.325,0.4905660377358491
Confindr,staph_aureus,SRR28370694,0.04,120,7,0.8611111111111112,0.775,0.8157894736842106
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,10,0.8031088082901554,0.8072916666666666,0.8051948051948051
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,1,0.047619047619047616,0.010416666666666666,0.017094017094017096
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,3,0.4666666666666667,0.18229166666666666,0.2621722846441948
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,5,0.7121212121212122,0.4895833333333333,0.5802469135802469
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,7,0.7877094972067039,0.734375,0.7601078167115903
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,9,0.8010471204188482,0.796875,0.7989556135770234
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,1,0.05357142857142857,0.015625,0.02419354838709677
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,3,0.43956043956043955,0.20833333333333334,0.2826855123674912
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,4,0.5048543689320388,0.2708333333333333,0.3525423728813559
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,6,0.6533333333333333,0.5104166666666666,0.5730994152046783
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,8,0.7135135135135136,0.6875,0.7002652519893899
Confindr,staph_aureus,ERR8958843,0.04,120,3,0.14285714285714285,0.075,0.0983606557377049
Confindr,staph_aureus,SRR28370694,0.04,120,8,0.875,0.875,0.875
Confindr,ecoli,ERR12533301,0.04,120,7,0.4578313253012048,0.926829268292683,0.6129032258064516
Confindr,staph_aureus,ERR8958843,0.04,120,5,0.5909090909090909,0.65,0.6190476190476191
Confindr,staph_aureus,ERR8958843,0.04,120,7,0.660377358490566,0.875,0.7526881720430108
Confindr,staph_aureus,ERR8958843,0.04,120,9,0.6545454545454545,0.9,0.7578947368421052
Confindr,staph_aureus,SRR28370694,0.04,120,1,1.0,0.05,0.09523809523809523
Confindr,staph_aureus,SRR28370694,0.04,120,4,0.9090909090909091,0.5,0.6451612903225806
Confindr,staph_aureus,SRR28370694,0.04,120,6,0.875,0.7,0.7777777777777777
Confindr,staph_aureus,SRR28370694,0.04,120,9,0.85,0.85,0.85
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,2,0.2857142857142857,0.08333333333333333,0.12903225806451613
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,4,0.6454545454545455,0.3697916666666667,0.47019867549668876
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,6,0.7310344827586207,0.5520833333333334,0.629080118694362
Confindr,campylobacter_jejuni,SRR27638397,0.04,120,8,0.7934782608695652,0.7604166666666666,0.7765957446808509
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,10,0.7360406091370558,0.7552083333333334,0.7455012853470437
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,2,0.14516129032258066,0.046875,0.07086614173228346
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,5,0.592,0.3854166666666667,0.4668769716088328
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,7,0.6785714285714286,0.59375,0.6333333333333334
Confindr,campylobacter_jejuni,SRR27710526,0.04,120,9,0.7248677248677249,0.7135416666666666,0.7191601049868767
Confindr,ecoli,ERR12533301,0.04,120,10,0.4935064935064935,0.926829268292683,0.6440677966101694
Confindr,ecoli,ERR12533301,0.04,120,1,0.12244897959183673,0.14634146341463414,0.13333333333333333
Confindr,ecoli,ERR12533301,0.04,120,2,0.328125,0.5121951219512195,0.39999999999999997
Confindr,ecoli,ERR12533301,0.04,120,3,0.42105263157894735,0.7804878048780488,0.547008547008547
Confindr,ecoli,ERR12533301,0.04,120,4,0.47435897435897434,0.9024390243902439,0.6218487394957983
Confindr,ecoli,ERR12533301,0.04,120,5,0.4625,0.9024390243902439,0.6115702479338844
Confindr,ecoli,ERR12533301,0.04,120,6,0.4567901234567901,0.9024390243902439,0.6065573770491803
Confindr,ecoli,ERR12533301,0.04,120,8,0.475,0.926829268292683,0.628099173553719
