tool,maf,batch,depth,precision,recall,f1score
NanoMGT,0.05,6,170,0.6987303295799838,0.8312886743450768,0.7478380528771691
NanoMGT,0.05,6,220,0.7179258315008934,0.782476004968383,0.7358956712336077
NanoMGT,0.05,7,120,0.6215309753960089,0.8838860659439927,0.7172473952510509
NanoMGT,0.05,7,170,0.7043237149031565,0.8981100383920506,0.7787851641968697
NanoMGT,0.05,7,220,0.7258666206590013,0.8412308039747064,0.7678181325260424
NanoMGT,0.05,8,120,0.6255354227835419,0.9211252258355916,0.7337331490214265
NanoMGT,0.05,8,170,0.7021103386695206,0.9349206752484192,0.7931078308778535
NanoMGT,0.05,8,220,0.7422720654493263,0.9013855013550135,0.8031769784994685
NanoMGT,0.05,9,120,0.6343587351639606,0.9527512420957542,0.7511181568701051
NanoMGT,0.05,9,170,0.7177681468069433,0.9564600271002709,0.8102466203287481
NanoMGT,0.05,9,220,0.7484499395840298,0.952651874435411,0.8295212880846832
NanoMGT,0.05,10,120,0.6362590363122786,0.9559397583559169,0.7546870132336544
NanoMGT,0.05,10,170,0.7132448261140458,0.9580281729900632,0.808356730605462
NanoMGT,0.05,10,220,0.7550825426931472,0.9633460365853658,0.8376681837224795
